image_source,product_name,product_category,price,skin_tone,lip_shape
https://imagesmfl.s3.amazonaws.com/lipstick_images/649.jpeg,Icy Glow 05 Tempting,MUZIGAE MANSION,RM72.25,Medium,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/650.jpeg,Objet Water 003 Posh,MUZIGAE MANSION,RM72.25,Dark,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/651.jpeg,Objet Water 002 Spicy,MUZIGAE MANSION,RM72.25,Dark,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/652.jpeg,Objet Liquid 002 Sequence,MUZIGAE MANSION,RM72.90,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/653.jpeg,Icy Glow 06 Cheshire,MUZIGAE MANSION,RM72.25,Medium,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/654.jpeg,OMBRELLA Lip Totem Tint - WDYT 1S,SOMEThinC,RM22.50,Dark,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/655.jpeg,OMBRELLA Lip Totem Tint - Underground 1S,SOMEThinC,RM22.50,Dark,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/656.jpeg,OMBRELLA Lip Totem Tint - Soul 1S,SOMEThinC,RM22.50,Medium,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/657.jpeg,OMBRELLA Lip Totem Tint - Savage 1S,SOMEThinC,RM22.50,Medium,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/658.jpeg,OMBRELLA Lip Totem Tint - Nikola 1S,SOMEThinC,RM22.50,Dark,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/659.jpeg,OMBRELLA Lip Totem Tint - Hottie 1S,SOMEThinC,RM22.50,Dark,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/660.jpeg,OMBRELLA Lip Totem Tint - HAYG 1S,SOMEThinC,RM22.50,Medium,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/661.jpeg,OMBRELLA Lip Totem Tint - Doze 1S,SOMEThinC,RM22.50,Dark,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/662.jpeg,Idol Blurry Soft Lip Matte - Pokerface 1S,SOMEThinC,RM28.00,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/663.jpeg,Idol Blurry Soft Lip Matte - Encore 1S,SOMEThinC,RM28.00,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/664.jpeg,Idol Blurry Soft Lip Matte - Ambush 1S,SOMEThinC,RM28.00,Medium,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/665.jpeg,OMBRELLA Lip Totem Tint - WUCU 1S,SOMEThinC,RM22.50,Medium,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/666.jpeg,Garden Walk Lipstick Matte 04,ZA,RM31.92,Medium,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/667.jpeg,Garden Walk Lipstick Matte 01,ZA,RM31.92,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/668.jpeg,Fluffy Lip Matte C09 Cekap,BT'S,RM13.90,Dark,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/669.jpeg,Paint It Chestnut PI05,IN2IT,RM31.41,Light,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/670.jpeg,Paint It Blossom PI03,IN2IT,RM31.41,Dark,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/671.jpeg,Paint It Poppy PI04,IN2IT,RM31.41,Light,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/672.jpeg,Color Riche Slim Neiwai Lipstick 611Naked Hawthorn,L'OREAL PARIS MAKEUP,RM38.10,Dark,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/673.jpeg,Satin Kiss Lipstick Chaffuer 3.5g,REVOLUTION,RM44.91,Light,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/674.jpeg,Satin Kiss Lipstick Decadence 3.5g,REVOLUTION,RM44.91,Medium,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/675.jpeg,Satin Kiss Lipstick Ruby 3.5g,REVOLUTION,RM44.91,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/676.jpeg,Satin Kiss Lipstick Rose 3.5g,REVOLUTION,RM44.91,Dark,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/677.jpeg,Satin Kiss Lipstick Fling 3.5g,REVOLUTION,RM44.91,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/678.jpeg,Satin Kiss Lipstick Heart Race 3.5g,REVOLUTION,RM44.91,Light,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/679.jpeg,Superstay Vinyl Ink Music 30 Unrival,MAYBELLINE,RM42.32,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/680.jpeg,Water Blur Tint 08 Chilling,DASIQUE,RM47.60,Medium,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/681.jpeg,Water Blur Tint 09 Very Berry,DASIQUE,RM47.60,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/682.jpeg,Juicy Dewy Tint 06 Rose Apple,DASIQUE,RM54.40,Medium,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/683.jpeg,Cream De Rose Tint 01 Nudy Rose,DASIQUE,RM68.00,Medium,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/684.jpeg,Cream De Rose Tint 03 Dreaming,DASIQUE,RM68.00,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/685.jpeg,Juicy Dewy Tint 12 Sweet Marron,DASIQUE,RM54.40,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/686.jpeg,Water Blur Tint 02 Just Peach,DASIQUE,RM47.60,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/687.jpeg,Water Blur Tint 04 Rosy Coral,DASIQUE,RM47.60,Dark,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/688.jpeg,Juicy Dewy Tint 17 Fig Berry,DASIQUE,RM54.40,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/689.jpeg,Juicy Dewy Tint 16 Chili Sherbet,DASIQUE,RM54.40,Medium,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/690.jpeg,Cream De Rose Tint 04 Redwood,DASIQUE,RM68.00,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/691.jpeg,Fresh Colour Liquid Lipstick Berry Pink FCL06,SIMPLYSITI,RM34.90,Dark,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/692.jpeg,Lasting Mega Matte Liq Lip 930 Ruby Passion,RIMMEL,RM33.91,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/693.jpeg,Lasting Mega Matte Liq Lip 900 Ravishing Rose,RIMMEL,RM33.91,Dark,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/694.jpeg,Exclusive Matte Lip Cream 11Oh So Nude 1's,WARDAH,RM26.90,Dark,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/695.jpeg,Glasting Melting Balm 12 Veiled Rose,ROM&ND,RM59.00,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/696.jpeg,Watercolor Lip Serum 01 Dawn,EMINA,RM17.00,Medium,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/697.jpeg,Berry Makes Comfort Lip Matte 05,BARE N BLISS,RM32.90,Dark,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/698.jpeg,Extreme Shine Volume Lipgloss 07 Peach Please,ESSENCE,RM18.00,Light,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/699.jpeg,Megalast  Lock n' Shine Lip Color Lotus Petal,WET N WILD,RM36.90,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/700.jpeg,Exclusive Matte Lip Cream 03 See You Latte 1's,WARDAH,RM26.90,Medium,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/701.jpeg,Fresh Bouquet Body Wash 1L,YUKA ZAN,RM16.90,Dark,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/702.jpeg,Chiffon Signature Lip 223 I Loose Up,L'OREAL PARIS MAKEUP,RM41.93,Dark,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/703.jpeg,Pout Bomb Plumping Gloss Glaze 4.6ml,REVOLUTION,RM44.91,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/704.jpeg,Megalast  Lock n' Shine Lip Color Nude Illusion,WET N WILD,RM36.90,Light,Normal
